id,type,src,dst,app,latency,message,ctime,size,buffer
32,LINK,2,38,1,3.0000553039466666,M.USER.APP.1,1055.0000553039467,4147796,0
33,LINK,44,5,5,4.00002076648,M.USER.APP.5,1084,1557486,0
33,LINK,5,3,5,4.00002076648,M.USER.APP.5,1088.00002076648,1557486,0
34,LINK,42,3,9,3.00003905188,M.USER.APP.9,1167,2928891,0
34,LINK,3,33,9,4.00003905188,M.USER.APP.9,1170.00003905188,2928891,0
35,LINK,51,14,6,4.0000458704533335,M.USER.APP.6,1224,3440284,0
35,LINK,14,3,6,4.0000458704533335,M.USER.APP.6,1228.0000458704533,3440284,0
36,LINK,22,2,6,3.0000458704533335,M.USER.APP.6,1230,3440284,1
35,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,1232.0000917409066,3440284,1
36,LINK,2,33,6,4.0000458704533335,M.USER.APP.6,1233.0000458704533,3440284,1
37,LINK,22,0,3,4.000031804293333,M.USER.APP.3,1245,2385322,0
37,LINK,0,13,3,3.000031804293333,M.USER.APP.3,1249.0000318042933,2385322,0
37,LINK,13,56,3,4.000031804293333,M.USER.APP.3,1252.0000636085865,2385322,0
38,LINK,44,27,0,2.0000378778533334,M.USER.APP.0,1257,2840839,0
38,LINK,27,10,0,3.0000378778533334,M.USER.APP.0,1259.0000378778534,2840839,0
38,LINK,10,13,0,3.0000378778533334,M.USER.APP.0,1262.0000757557068,2840839,0
39,LINK,41,2,2,3.000050567933333,M.USER.APP.2,1284,3792595,0
39,LINK,2,4,2,2.000050567933333,M.USER.APP.2,1287.0000505679334,3792595,0
40,LINK,20,1,6,3.0000458704533335,M.USER.APP.6,1298,3440284,0
40,LINK,1,3,6,3.0000458704533335,M.USER.APP.6,1301.0000458704533,3440284,0
40,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,1304.0000917409066,3440284,0
41,LINK,20,1,4,3.000058898333333,M.USER.APP.4,1311,4417375,0
41,LINK,1,3,4,3.000058898333333,M.USER.APP.4,1314.0000588983332,4417375,0
41,LINK,3,9,4,3.000058898333333,M.USER.APP.4,1317.0001177966665,4417375,0
42,LINK,44,5,5,4.00002076648,M.USER.APP.5,1345,1557486,0
42,LINK,5,3,5,4.00002076648,M.USER.APP.5,1349.00002076648,1557486,0
43,LINK,44,5,1,4.000055303946667,M.USER.APP.1,1354,4147796,0
43,LINK,5,3,1,4.000055303946667,M.USER.APP.1,1358.0000553039467,4147796,0
43,LINK,3,26,1,3.0000553039466666,M.USER.APP.1,1362.0001106078935,4147796,0
44,LINK,41,5,8,4.0000561934,M.USER.APP.8,1367,4214505,0
44,LINK,5,9,8,6.0000561934,M.USER.APP.8,1371.0000561934,4214505,0
45,LINK,44,5,2,4.000050567933333,M.USER.APP.2,1379,3792595,0
45,LINK,5,3,2,4.000050567933333,M.USER.APP.2,1383.0000505679334,3792595,0
46,LINK,51,14,6,4.0000458704533335,M.USER.APP.6,1403,3440284,0
46,LINK,14,3,6,4.0000458704533335,M.USER.APP.6,1407.0000458704533,3440284,0
46,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,1411.0000917409066,3440284,0
47,LINK,42,3,9,3.00003905188,M.USER.APP.9,1476,2928891,0
47,LINK,3,33,9,4.00003905188,M.USER.APP.9,1479.00003905188,2928891,0
48,LINK,44,5,5,4.00002076648,M.USER.APP.5,1490,1557486,0
48,LINK,5,3,5,4.00002076648,M.USER.APP.5,1494.00002076648,1557486,0
49,LINK,20,1,4,3.000058898333333,M.USER.APP.4,1503,4417375,0
49,LINK,1,3,4,3.000058898333333,M.USER.APP.4,1506.0000588983332,4417375,0
49,LINK,3,9,4,3.000058898333333,M.USER.APP.4,1509.0001177966665,4417375,0
50,LINK,41,2,1,3.0000553039466666,M.USER.APP.1,1525,4147796,0
50,LINK,2,38,1,3.0000553039466666,M.USER.APP.1,1528.0000553039467,4147796,0
51,LINK,42,3,1,3.0000553039466666,M.USER.APP.1,1568,4147796,0
51,LINK,3,26,1,3.0000553039466666,M.USER.APP.1,1571.0000553039467,4147796,0
52,LINK,22,0,3,4.000031804293333,M.USER.APP.3,1574,2385322,1
52,LINK,0,13,3,3.000031804293333,M.USER.APP.3,1578.0000318042933,2385322,0
52,LINK,13,56,3,4.000031804293333,M.USER.APP.3,1581.0000636085865,2385322,0
53,LINK,20,1,1,3.0000553039466666,M.USER.APP.1,1588,4147796,0
54,LINK,44,27,0,2.0000378778533334,M.USER.APP.0,1589,2840839,1
54,LINK,27,10,0,3.0000378778533334,M.USER.APP.0,1591.0000378778534,2840839,1
53,LINK,1,3,1,3.0000553039466666,M.USER.APP.1,1591.0000553039467,4147796,1
54,LINK,10,13,0,3.0000378778533334,M.USER.APP.0,1594.0000757557068,2840839,1
53,LINK,3,26,1,3.0000553039466666,M.USER.APP.1,1594.0001106078935,4147796,1
55,LINK,20,1,6,3.0000458704533335,M.USER.APP.6,1642,3440284,0
55,LINK,1,3,6,3.0000458704533335,M.USER.APP.6,1645.0000458704533,3440284,0
55,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,1648.0000917409066,3440284,0
56,LINK,42,3,9,3.00003905188,M.USER.APP.9,1692,2928891,0
56,LINK,3,33,9,4.00003905188,M.USER.APP.9,1695.00003905188,2928891,0
57,LINK,44,5,1,4.000055303946667,M.USER.APP.1,1712,4147796,0
57,LINK,5,3,1,4.000055303946667,M.USER.APP.1,1716.0000553039467,4147796,0
57,LINK,3,26,1,3.0000553039466666,M.USER.APP.1,1720.0001106078935,4147796,0
58,LINK,41,5,8,4.0000561934,M.USER.APP.8,1729,4214505,0
58,LINK,5,9,8,6.0000561934,M.USER.APP.8,1733.0000561934,4214505,0
59,LINK,51,14,6,4.0000458704533335,M.USER.APP.6,1741,3440284,0
60,LINK,44,5,2,4.000050567933333,M.USER.APP.2,1744,3792595,1
59,LINK,14,3,6,4.0000458704533335,M.USER.APP.6,1745.0000458704533,3440284,1
60,LINK,5,3,2,4.000050567933333,M.USER.APP.2,1748.0000505679334,3792595,1
59,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,1749.0000917409066,3440284,1
61,LINK,22,2,6,3.0000458704533335,M.USER.APP.6,1783,3440284,0
62,LINK,44,5,6,4.0000458704533335,M.USER.APP.6,1786,3440284,1
61,LINK,2,33,6,4.0000458704533335,M.USER.APP.6,1786.0000458704533,3440284,1
62,LINK,5,9,6,6.0000458704533335,M.USER.APP.6,1790.0000458704533,3440284,1
63,LINK,22,0,3,4.000031804293333,M.USER.APP.3,1804,2385322,0
63,LINK,0,13,3,3.000031804293333,M.USER.APP.3,1808.0000318042933,2385322,0
63,LINK,13,56,3,4.000031804293333,M.USER.APP.3,1811.0000636085865,2385322,0
64,LINK,44,27,0,2.0000378778533334,M.USER.APP.0,1822,2840839,0
64,LINK,27,10,0,3.0000378778533334,M.USER.APP.0,1824.0000378778534,2840839,0
64,LINK,10,13,0,3.0000378778533334,M.USER.APP.0,1827.0000757557068,2840839,0
65,LINK,20,6,7,3.0000520414666667,M.USER.APP.7,1854,3903110,0
65,LINK,6,15,7,3.0000520414666667,M.USER.APP.7,1857.0000520414667,3903110,0
65,LINK,15,58,7,4.000052041466667,M.USER.APP.7,1860.0001040829334,3903110,0
66,LINK,41,2,2,3.000050567933333,M.USER.APP.2,1861,3792595,1
66,LINK,2,4,2,2.000050567933333,M.USER.APP.2,1864.0000505679334,3792595,1
67,LINK,20,1,4,3.000058898333333,M.USER.APP.4,1865,4417375,1
67,LINK,1,3,4,3.000058898333333,M.USER.APP.4,1868.0000588983332,4417375,0
67,LINK,3,9,4,3.000058898333333,M.USER.APP.4,1871.0001177966665,4417375,0
68,LINK,20,1,6,3.0000458704533335,M.USER.APP.6,1882,3440284,0
68,LINK,1,3,6,3.0000458704533335,M.USER.APP.6,1885.0000458704533,3440284,0
68,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,1888.0000917409066,3440284,0
69,LINK,41,2,1,3.0000553039466666,M.USER.APP.1,1928,4147796,0
70,LINK,51,14,6,4.0000458704533335,M.USER.APP.6,1928,3440284,1
69,LINK,2,38,1,3.0000553039466666,M.USER.APP.1,1931.0000553039467,4147796,1
70,LINK,14,3,6,4.0000458704533335,M.USER.APP.6,1932.0000458704533,3440284,1
70,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,1936.0000917409066,3440284,0
71,LINK,44,5,1,4.000055303946667,M.USER.APP.1,1963,4147796,0
71,LINK,5,3,1,4.000055303946667,M.USER.APP.1,1967.0000553039467,4147796,0
